0.49004,0.39654,0.54313,0.53625,0.52565
0.47417,0.39725,0.54104,0.54228,0.5239
0.46367,0.36979,0.51866,0.55438,0.51214
0.74574,0.80557,0.76605,0.82894,0.82651
0.76368,0.79322,0.78311,0.83817,0.81792
0.78275,0.75947,0.7664,0.80865,0.81109
0.49158,0.4119,0.53644,0.53115,0.51667
0.49821,0.42964,0.53235,0.53295,0.52622
0.48163,0.39393,0.53779,0.5498,0.52762
0.75127,0.77991,0.7717,0.82713,0.82897
0.77718,0.79202,0.78553,0.86179,0.84696
0.76804,0.75121,0.79694,0.8115,0.82334
0.53873,0.41376,0.54416,0.57859,0.59042
0.53311,0.41771,0.51771,0.61145,0.60144
0.51101,0.41687,0.50585,0.5901,0.60234
0.68429,0.74799,0.71317,0.82587,0.80385
0.67063,0.74667,0.72657,0.84536,0.81719
0.67509,0.68992,0.69751,0.81707,0.79058
